State,City,Borough/Area,Neighborhood,DP05_0001E,DP05_0002E,DP05_0003E,DP05_0005E,DP05_0006E,DP05_0007E,DP05_0008E,DP05_0009E,DP05_0010E,DP05_0011E,DP05_0012E,DP05_0013E,DP05_0014E,DP05_0015E,DP05_0016E,DP05_0017E,DP05_0018E,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0044E,DP05_0045E,DP05_0046E,DP05_0052E,DP03_0002E,DP03_0019E,DP03_0020E,DP03_0021E,DP03_0022E,DP03_0024E,DP03_0096E,DP03_0025E,B09019_003E,B25034_001E,B25034_002E,B25034_003E,B25034_004E,B25034_005E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E,S1501_C01_009E,S1501_C01_011E,S1501_C01_012E,S1501_C01_013E,S2503_C01_013E,S2503_C01_024E,S2701_C01_031E,S2701_C01_032E,S2701_C01_033E,S2701_C01_034E,S2701_C01_035E
New York,New York City,Manhattan,East Harlem ,57104.5,26587.0,30517.5,3173.5,2570.5,3257.0,3158.5,3750.0,9991.0,8484.5,6901.0,3531.5,3369.0,4817.5,2709.5,1391.0,37.7,13355.0,18851.5,693.0,4818.5,628.5,2846.5,26.0,25095.5,1523.0,315.5,14015.0,2532.0,2858.0,52416.5,36.45,24119.5,26694.5,25.5,1831.5,2293.0,1339.5,992.5,3619.0,5044.5,4436.0,1791.5,5321.5,10529.0,1988.5,7619.0,5561.5,36314.5,1180.0,42729.0,13601.0,7413.0,6188.0,9421.0
New York,New York City,Manhattan,Gramercy Park and Murray Hill ,33712.75,16113.25,17599.5,1160.25,989.0,917.75,908.25,2513.75,8964.5,4946.0,3596.0,1566.5,1677.75,3306.25,2199.5,967.25,39.725,23272.5,1575.75,36.25,5642.25,1480.0,2350.5,15.25,22493.25,1113.5,228.75,6472.25,7187.0,5086.5,32626.5,26.675,18380.0,23349.5,6.75,1223.0,1230.25,920.5,2612.75,2390.75,3839.75,2596.5,1289.75,7239.5,1526.75,542.75,11004.75,11442.25,149338.0,2769.75,25185.75,8467.25,4303.0,4164.25,2326.5
New York,New York City,Manhattan,Greenwich Village and Soho,26710.0,13149.333333333334,13560.666666666666,856.6666666666666,563.6666666666666,839.3333333333334,695.0,2274.0,6515.333333333333,4112.333333333333,3685.6666666666665,1610.6666666666667,1072.6666666666667,2570.0,1404.0,510.6666666666667,38.266666666666666,18716.333333333332,737.3333333333334,53.0,4701.0,742.6666666666666,3135.6666666666665,0.0,17622.0,679.0,248.0,6546.0,3557.0,3878.6666666666665,25578.666666666668,25.099999999999998,13928.666666666666,17116.0,9.666666666666666,625.0,837.3333333333334,438.6666666666667,753.3333333333334,874.6666666666666,1124.6666666666667,851.3333333333334,445.0,11156.333333333334,1370.6666666666667,323.3333333333333,10032.333333333334,7025.0,141610.66666666666,2781.0,19710.0,6815.666666666667,3842.6666666666665,2973.0,1940.3333333333333
New York,New York City,Manhattan,Inwood and Washington Heights ,53091.6,26496.4,26595.2,2477.6,2386.4,2291.0,2344.6,3539.2,10970.2,8336.6,6823.0,2990.0,3006.6,4643.0,2356.8,926.6,37.660000000000004,14273.2,7834.0,703.8,1932.4,350.8,568.0,27.8,30125.0,1974.0,777.4,16089.6,2264.6,3875.4,48451.2,41.6,19452.6,20959.4,2.8,370.4,274.0,296.0,420.6,843.2,1490.2,1832.2,2483.2,12946.8,7351.2,1959.8,8935.6,6563.2,64598.4,1626.8,30351.2,22500.4,12892.8,9607.6,7837.0
New York,New York City,Manhattan,Lower East Side ,62937.666666666664,31070.333333333332,31867.333333333332,1826.0,1912.6666666666667,1995.3333333333333,3662.3333333333335,5254.666666666667,14005.666666666666,7950.333333333333,6574.0,4471.0,3633.3333333333335,6478.666666666667,3498.0,1675.6666666666667,38.2,31068.0,4720.333333333333,198.66666666666666,15239.666666666666,1095.0,11906.666666666666,18.666666666666668,34793.333333333336,1555.3333333333333,405.6666666666667,13896.666666666666,7268.333333333333,6283.0,60406.0,29.5,30228.333333333332,33959.666666666664,13.333333333333334,1076.0,1070.0,832.0,1618.6666666666667,2294.3333333333335,4650.0,3990.6666666666665,4214.0,14200.666666666666,6051.333333333333,1725.3333333333333,16606.333333333332,10986.0,93189.66666666667,1872.0,44879.333333333336,17858.0,10550.0,7308.0,7235.0
New York,New York City,Manhattan,Lower Manhattan ,9468.0,4457.166666666667,5010.833333333333,456.6666666666667,278.1666666666667,384.6666666666667,419.8333333333333,759.8333333333334,2535.1666666666665,1478.8333333333333,1285.6666666666667,398.1666666666667,430.1666666666667,609.3333333333334,228.16666666666666,203.33333333333334,35.13333333333333,5618.833333333333,706.0,24.333333333333332,2192.5,258.3333333333333,1518.0,6.5,6306.5,226.0,68.66666666666667,2784.1666666666665,1495.8333333333333,1240.8333333333333,9151.333333333334,26.71666666666667,4512.166666666667,5432.0,4.0,363.1666666666667,682.8333333333334,330.8333333333333,790.0,513.5,452.0,255.66666666666666,146.0,1894.0,484.0,158.66666666666666,3166.3333333333335,2362.5,186558.8,3550.3333333333335,7061.0,2320.0,1378.8333333333333,941.1666666666666,489.8333333333333
New York,New York City,Manhattan,Upper East Side ,34946.5,15584.833333333334,19361.666666666668,1784.8333333333333,1282.3333333333333,1352.6666666666667,1135.1666666666667,1452.5,7045.5,4863.333333333333,4172.5,1989.3333333333333,2098.3333333333335,3710.6666666666665,2733.6666666666665,1325.6666666666667,41.61666666666667,27115.833333333332,1144.5,54.833333333333336,3739.0,974.1666666666666,1169.8333333333333,42.333333333333336,20613.166666666668,1134.3333333333333,345.0,8570.666666666666,3710.1666666666665,4435.333333333333,33705.5,30.316666666666666,18054.5,22986.0,43.5,300.3333333333333,926.1666666666666,813.8333333333334,2325.6666666666665,2641.0,4497.833333333333,2532.8333333333335,1244.0,7660.833333333333,2054.8333333333335,931.0,9850.0,12440.166666666666,144450.0,2636.1666666666665,26519.833333333332,8138.5,4184.5,3954.0,2900.8333333333335
New York,New York City,Manhattan,Upper West Side ,75156.0,34470.0,40686.0,4089.3333333333335,2958.0,2881.3333333333335,2892.3333333333335,3884.6666666666665,13166.666666666666,10474.0,9489.0,4896.666666666667,4596.666666666667,8552.333333333334,4951.0,2324.0,41.96666666666667,50930.666666666664,5237.0,123.33333333333333,7601.0,1408.6666666666667,3442.0,0.0,42813.666666666664,1877.3333333333333,645.3333333333334,19106.666666666668,4970.666666666667,10466.333333333334,72173.0,30.900000000000002,35622.333333333336,43149.0,49.333333333333336,1324.6666666666667,1547.3333333333333,1235.0,2623.3333333333335,2465.6666666666665,4547.333333333333,2301.3333333333335,1822.3333333333333,25232.666666666668,4373.0,1284.3333333333333,19579.333333333332,25123.0,141792.66666666666,2537.6666666666665,56880.666666666664,17742.0,8651.0,9091.0,7230.333333333333
New York,New York City,Queens,Central Queens ,34456.333333333336,16386.0,18070.333333333332,2516.6666666666665,1855.0,2279.0,2060.6666666666665,2076.0,4144.0,4141.0,4258.0,2658.6666666666665,2477.0,3257.0,1980.3333333333333,753.0,40.699999999999996,12682.666666666666,3295.0,57.333333333333336,12558.666666666666,1090.0,8236.333333333334,0.0,17039.666666666668,6100.666666666667,1320.6666666666667,5135.666666666667,762.0,1705.6666666666667,32487.666666666668,44.13333333333333,11882.666666666666,12463.0,13.0,278.3333333333333,427.3333333333333,263.0,554.3333333333334,719.0,1483.3333333333333,4458.666666666667,3048.3333333333335,1217.6666666666667,5168.666666666667,2029.0,5940.666666666667,4070.0,91474.66666666667,1771.6666666666667,19191.666666666668,15221.666666666666,10411.0,4810.666666666667,3522.3333333333335
New York,New York City,Queens,Jamaica ,46162.71428571428,21975.571428571428,24187.14285714286,2907.5714285714284,2622.1428571428573,2680.285714285714,2766.1428571428573,3090.0,6903.285714285715,5715.0,6097.714285714285,3361.0,3004.285714285714,4189.0,1960.7142857142858,865.5714285714286,38.871428571428574,4140.0,22728.14285714286,380.57142857142856,8774.142857142857,2636.1428571428573,870.7142857142857,33.285714285714285,23647.285714285714,8070.571428571428,995.8571428571429,8926.285714285714,809.1428571428571,1446.4285714285713,42308.42857142857,46.4,14441.857142857143,15295.142857142857,41.57142857142857,492.7142857142857,796.1428571428571,632.4285714285714,540.5714285714286,754.1428571428571,2466.8571428571427,2871.4285714285716,2125.0,4574.285714285715,8924.142857142857,2613.8571428571427,5869.142857142857,3197.285714285714,79577.28571428571,1916.0,24736.714285714286,21134.14285714286,14157.0,6977.142857142857,4905.428571428572
New York,New York City,Queens,North Queens ,37236.57142857143,17869.285714285714,19367.285714285714,1917.4285714285713,1619.0,1857.4285714285713,1575.0,1577.142857142857,4898.0,4696.857142857143,5138.428571428572,2861.714285714286,2715.285714285714,4736.714285714285,2450.0,1193.5714285714287,45.916666666666664,10788.857142857143,715.2857142857143,138.71428571428572,19675.14285714286,774.8571428571429,14106.57142857143,62.714285714285715,18346.0,6081.857142857143,1701.857142857143,5241.428571428572,1573.5714285714287,1389.857142857143,33267.42857142857,41.53333333333333,13777.142857142857,14741.714285714286,27.857142857142858,619.0,658.5714285714286,689.0,1194.2857142857142,1139.7142857142858,2511.4285714285716,3221.8571428571427,1646.5714285714287,3033.4285714285716,7687.428571428572,2494.8571428571427,5322.571428571428,3507.0,79375.33333333333,1770.0,16232.857142857143,20678.85714285714,11275.42857142857,9403.42857142857,3364.285714285714
New York,New York City,Queens,Northeast Queens ,23364.75,11297.0,12067.75,1146.0,1272.5,1272.5,1053.5,1104.25,2687.5,2917.25,3266.0,1902.75,1690.75,2990.25,1310.0,751.5,46.224999999999994,9497.0,713.0,132.5,10477.75,474.0,6432.5,0.0,11957.5,5492.0,1213.75,2594.25,366.25,1291.0,22077.0,41.85,8681.75,9200.5,10.0,176.5,300.25,295.25,433.25,515.0,1447.5,3151.25,1226.75,1644.75,3101.0,1429.0,4887.5,3737.75,107308.25,2001.75,13985.75,9285.75,6679.25,2606.5,2247.5
New York,New York City,Queens,Northwest Queens ,33665.5,16788.0,16877.5,1801.0,1214.3333333333333,1264.5,1097.1666666666667,1928.3333333333333,8893.833333333334,6085.333333333333,3927.5,1883.1666666666667,1505.5,2437.0,1134.5,493.3333333333333,36.0,17852.0,2043.6666666666667,179.0,6208.666666666667,1324.3333333333333,1703.1666666666667,8.0,21220.833333333332,2512.3333333333335,476.0,10847.666666666666,1061.1666666666667,3317.0,31307.5,38.96666666666667,15087.666666666666,19163.666666666668,63.666666666666664,2795.1666666666665,880.8333333333334,360.6666666666667,447.6666666666667,850.8333333333334,1303.3333333333333,2092.1666666666665,2649.8333333333335,7719.5,4833.166666666667,1638.8333333333333,8670.666666666666,5659.666666666667,93934.16666666667,2107.3333333333335,20783.0,12801.5,6927.833333333333,5873.666666666667,2922.1666666666665
New York,New York City,Queens,Rockaways ,26848.2,12759.0,14089.2,2006.6,1906.6,2304.0,1687.6,1520.8,3091.8,3243.4,3359.8,1772.8,1764.0,2341.6,1317.6,531.6,41.82000000000001,10687.4,9927.6,47.6,1022.0,304.6,214.2,7.2,11832.0,4761.2,590.4,3347.2,675.2,709.8,24241.4,47.04,8923.2,9777.6,4.8,530.8,1140.0,549.0,473.4,1156.2,1788.6,1540.4,687.0,1907.4,4734.2,1455.6,3009.8,2409.8,84861.4,1443.8,18676.8,7476.0,4921.2,2554.8,3423.2
